Rank,Alliance,Server,Members,Total Points,Avg Points/Player,Top Commander,Top Commander Points
87,[pART] PartizanGrobari,S117,1,21496,21496,Dawa78,21496
88,[WoLF] WorldLiberationFront,S117,1,17000,17000,Sergiu85,17000
89,[BCB] BADCOMPANYBRIGADE,S117,10,14274,1427,VictorY,5342
90,[Azt2] USAKKAA,S117,8,10080,1260,Errol2086,4719
91,[7DS] Se7enDeàdlySins,S117,10,9686,968,Ecamir,3492
92,[CK1] Crypt1cKnights,S117,3,9259,3086,Commander2eyPILr,6096
93,[Tr1] TürkBirliğı,S117,9,8532,948,Commander2f6Syrj,4374
94,[D2D] DeadEndDynasty,S117,8,7810,976,Claudio0033,1995
95,[AADC] Tranquilityprevails,S117,10,7586,758,Johnnny5,2664
96,[3612] Легенда007,S117,8,6824,853,Commander2dQurMV,3704
97,[KRS2] KRATO,S117,7,5518,788,nicolas06590,3328
98,[CPU] CPUUUU,S117,5,5429,1085,Commander2eNTwIR,2456
99,[hel] helloo,S117,10,4557,455,Commander2fXx401,1680
100,[TBMM] Teşkilat,S117,1,4291,4291,Cocolokko,4291
101,[FGTH] FunnyGTH,S117,8,3500,437,Commander2eKbtbf,1470
102,[SMY] SileentMajority,S117,12,3097,258,Commander2eiQVq5,800
103,[RD11] RisingDominion,S117,1,2912,2912,BuzzLightyear,2912
104,[QCK] QUICKREACTIONFORCE,S117,3,2788,929,Hoshino,2604
105,[TopU] UkraineWillWin,S117,7,2448,349,Fumyshe,1680
106,[R111] R11111,S117,1,2349,2349,Commander2e0XGg5,2349
107,[GeR] Germanyf2P,S113,1,2345,2345,Zyson,2345
108,[mvEp] Viva4ever,S117,7,2289,327,ravanan,840
109,[2kk] afwff,S117,5,2276,455,Commander2ezanyZ,1946
110,[TBS2] Tabacuddos,S117,3,2047,682,Commander2fK4r6R,1066
111,[NNU] TheSun,S117,1,1972,1972,ShooShoo,1972
112,UQK]JOKKK,S117,1,1912,1912,Wallace1999,1912
113,[HEII] DarkAl,S117,4,1894,473,Ulukbek,1024
114,[TІOX] ПоХуисты,S117,6,1865,310,MasteRS,1184
115,UJQK] JQKKK,S117,1,1664,1664,RobsonSilva,1664
116,[Sp3r] Sparta2026,S117,6,1655,275,Commander2dyy2z3,893
117,[VFD] VFDAHREA,S117,4,1477,369,Laulau42,906
118,[COG] Archersoflacross,S117,5,1288,257,EtherealSaint,424
119,[1BiR] XOXOX,S117,4,1260,315,Nikolai2312,1057
120,[aWLO] 111AB,S117,2,1139,569,Commander2fj6633,952
121,[HMK] HispaniaMagna,S117,1,1112,1112,Viningaxxx,1112
122,[MMMC] Mdodmcj,S117,6,922,153,CommanderAnya,428
123,[DRKT] DarkKnightS,S117,2,817,408,Critto,808
124,[Wir] WölfeOdins,S117,2,807,403,Commander2eXj6Lz,632
125,Df] 아무이름이나붙이기,S117,2,774,387,Commander2eMztKR,585
126,[ZRS] ZRlastwar,S117,1,688,688,Commander2ead3mt,688
127,[Aria] ariaetsescompagon,S117,7,591,84,Noxxxxxxx,216
128,[190] CandyClub,S117,3,580,193,Flavio2,360
129,[QCKJ QUICKREACTIONFORCE,S117,2,579,289,Niella,483
130,[SEE] SunEatingEagle,S117,2,564,282,Commander2euL7db,510
131,[PYZE] PYZDA,S117,3,536,178,максим1234,328
132,[DWD] DryWell,S117,1,396,396,Dee9,396
133,[TWB] BMWMT,S117,5,392,78,Commander2djnCg5,152
134,[ues] SUAUUUUUUK,S117,2,342,171,ItssTurner,288
135,[uuas] usssss,S117,2,328,164,Eland,184
136,[COM] AmericanHeadquarter,S117,3,320,106,Free-iran,160
137,[BYQ] USASKK,S117,1,296,296,JёriїiÜÉy,296
138,[SiN1] Genocide,S117,1,286,286,Commander2dud6jv,286
139,[A12] AmericanFamily,S117,2,271,135,Commander2erCJLv,263
140,[usv] USAUUUUUUUUKU,S117,1,256,256,Commander2fKROnb,256
141,[OSO] DFHJK,S117,1,189,189,Commander2dlvgY5,189
142,[RESH] Gshreh,S117,1,156,156,Commander2dR5e4Z,156
143,[CBD] CBDDD,S117,2,156,78,Kawekalaya,84
144,[MXZ] Mexzom,S117,1,147,147,zergy,147
145,[1BİR] XOXOX,S117,2,115,57,logen,70
146,[Skr] southkorea,S117,1,95,95,Commander2e28N8x,95
147,[ROKY] NO1ROK,S117,1,64,64,reapah,64
148,[19o] CandyClub,S117,1,64,64,Bellchen,64
149,[KDA] KDAUSA,S117,2,40,20,Commander2eZUyBD,24
150,[HElI] DarkAl,S117,1,32,32,Alexei-pervui,32
151,[wCOE] USAQUK,S117,1,24,24,Douggiedoo,24
152,[FBLL] DVDVDVD,S117,1,16,16,꺼드럭,16
153,[DFH] LregLSho,S117,2,16,8,Commander2fZei8Z,9
154,[QWER] 가나디유치원,S117,1,7,7,homonez,7
155,[Fkfk] Фкфкфкфк,S117,1,6,6,Azumiii,6
