Rank,Player Name,Player Alliance,Points
99,Землеход,[SORI] ВРЕДНЫЕ S119,1744045
100,инфо,[STLG] SteelLegion S119,1739420
101,USEM,[Sold] Soldiers S119,1737512
102,AstralZ+>Oo°,[OFF] OnlyForFans S119,1728929
103,Maketa,[TSR2] TheShardofReality2 S119,1722283
104,DubaiEscort,[SORI] ВРЕДНЫЕ S119,1702971
105,EvVa,[DOOM] Armageddon S119,1697743
106,-Alexandro-,[CHIL] ChillEmpire S119,1693002
107,Mezomofr,[STLG] SteelLegion S119,1692082
108,хакк,[OFF] OnlyForFans S119,1688682
109,Коржик,[Hhhh] Xpovos S119,1688192
110,•ZenA•,[DOOM] Armageddon S119,1683443
111,Весовщик,[WIn] OnlyWin S119,1681387
112,bluumen54,[OFF] OnlyForFans S119,1677407
113,Nastasia16011988,[HLCZ] HellsCrazy S119,1672737
114,ОтмороженныйДед,[STLG] SteelLegion S119,1670100
115,Antm,[RTR] RETRO S119,1666171
116,хХхСергейхХх,[CLAV] ВОЙНЫ S119,1664976
117,Flower888,[RTR] RETRO S119,1664611
118,Hunter,[TSR2] TheShardofReality2 S119,1660148
119,Mistresss,[GDI] GolgDiggers,1651144
120,Резоуст,[WIn] OnlyWin S119,1650463
121,Сварожич78,[SKG] Horizon S119,1645655
122,vl7,[DOOM] Armageddon S119,1643356
123,Тэланд,[WIn] OnlyWin S119,1640593
124,Ankals,[STLG] SteelLegion S119,1640518
125,fantazer99,[OFF] OnlyForFans S119,1637007
126,Барсов,[WIn] OnlyWin S119,1635071
127,Тигрица37,[SORI] ВРЕДНЫЕ S119,1634637
128,DimaLowTab,[OFF] OnlyForFans S119,1634350
129,Судья,[DOOM] Armageddon S119,1632908
130,firstry,[TSR2] TheShardofReality2 S119,1631071
131,KaRTaL60,[HDG] HérosdeGuerre,1631009
132,ejen,[0G8b] AbyssTerritory S119,1629770
133,Budmen,[SORI] ВРЕДНЫЕ S119,1629359
134,Kra4os,[SORI] ВРЕДНЫЕ S119,1628961
135,Nежная,[RTR] RETRO S119,1628078
136,Селенар,[Hhhh] Xpovos S119,1624937
137,mrKUK,[TSR2] TheShardofReality2 S119,1623692
138,Strannikkkkkkk,[SORI] ВРЕДНЫЕ S119,1623276
139,FirstWarden,[WIn] OnlyWin S119,1621815
140,KpelvleHb,[STLG] SteelLegion S119,1618114
141,iSeeU,[DOOM] Armageddon S119,1617323
142,Poooncho,[GDI] GolgDiggers,1617021
143,FatTony11,[STLG] SteelLegion S119,1615976
144,Wolfí,[RTR] RETRO S119,1606705
145,ArsenMAM,[SKG] Horizon S119,1606019
146,KatrinAmi,[CHIL] ChillEmpire S119,1604410
147,vit-sol,[DOOM] Armageddon S119,1601620
148,•Fe*4,[CLAV] ВОЙНЫ S119,1599960
149,GFreeman666,[TSR2] TheShardofReality2 S119,1599932
150,Tekinsoldier,[P1MP]JU1CE,1598852
151,pituh,[TSR2] TheShardofReality2 S119,1592908
152,Knopo4ka,[RTR] RETRO S119,1588761
153,paNika,[CLAV] ВОЙНЫ- S119,1587041
154,RELAX1,[STLG] SteelLegion S119,1585530
155,Белка~,[DOOM] Armageddon S119,1585460
156,TENSEI,[TSR2] TheShardofReality2 S119,1584880
157,Мaxopka,[STLG] SteelLegion S119,1582785
158,Хзк,[WIn] OnlyWin S119,1582134
159,JourneyRex,[HDG] HérosdeGuerre,1580573
160,Popodelkin,[BNN] Banana S119,1580497
161,Konstantinos86,[P2MP] NowaPolandia,1579978
162,Нанит,[SORI] ВРЕДНЫЕ S119,1578118
163,[STLG] SteelLegion,S119,1578026
164,Спартак89,[STLG] SteelLegion S119,1577174
165,Chop-Chop,[DOOM] Armageddon S119,1573430
166,Nomadic,[CLAV] ВОЙНЫ S119,1571918
167,Ладулька,[DOOM] Armageddon S119,1568909
168,[TSR2] TheShardofReality2,S119,1568347
169,Куськаа,[SKG] Horizon S119,1568122
170,SweTlayaY,[Sold] Soldiers S119,1567773
171,Олька38,[CHIL] ChillEmpire S119,1566019
172,Anr23,[DOOM] Armageddon S119,1565628
173,Davoth,[DOOM] Armageddon S119,1565605
174,SERIOUS-INJURY,[TSR2] TheShardofReality2 S119,1565135
175,hoof,[GDI] GolgDiggers,1563822
176,Arlion,[TSR2] TheShardofReality2 S119,1559947
177,Julie18,[SKG] Horizon S119,1558088
178,Oksano4Ka666,[RTR] RETRO S119,1557353
179,BornToBeWild88,[TSR2] TheShardofReality2 S119,1555164
180,DrBaзелин,[DOOM] Armageddon S119,1554520
181,Wasilisa,[Sold] Soldiers S119,1552689
182,Asoka-909,[TSR2] TheShardofReality2 S119,1552465
183,Yra187,[STLG] SteelLegion S119,1551301
184,Zaaaal,[RTR] RETRO S119,1549704
185,Rostov-Angeles,[CLAV] ВОЙНЫ- S119,1549193
186,Antonio1986,[OFF] OnlyForFans S119,1548049
187,DeaDShot,[STLG] SteelLegion S119,1546504
188,Philinx,[SORI] ВРЕДНЫЕ S119,1543640
189,Yarosl,[cHIL] ChillEmpire S119,1542400
190,Lucifer,[STLG] SteelLegion S119,1540014
191,zombibutcher1923,[SKG] Horizon S119,1537585
192,Sedykh,[TSR2] TheShardofReality2 S119,1536460
193,NaDinka,[TSR2] TheShardofReality2 S119,1535902
194,Серёгааа,[KRL] кристал S119,1534940
195,иностранец,[cHIL] ChillEmpire S119,1533723
196,jf17,[AZT] AntiZombieTeam,1532885
197,Razy,[OFF] OnlyForFans S119,1532716
198,RamsesIl,[DOOM] Armageddon S119,1532202
199,UmbrAPanther,[TSR2] TheShardofReality2 S119,1531566
200,ТоШкиН,[KRL] кристал S119,1529939
201,Akazzza,[STLG] SteelLegion S119,1528868
202,Префект,[KRL] кристал S119,1526348
203,Letun33,[OFF] OnlyForFans S119,1525834
204,JleHaP,[RTR] RETRO S119,1520140
205,evrenhalo,[P2MP] NowaPolandia,1519376
206,Alinka,[KRL] кристал S119,1518540
207,Sapogik,[UAW] UpadteAnioły S119,1517965
208,archer339,[P1MP]JU1CE,1517267
209,bob763,[STLG] SteelLegion S119,1516292
210,Buhgalter,[SSSE] Pensioners S119,1515138
211,Legats,[CHIL] ChillEmpire S119,1514722
212,Men007,[DOOM] Armageddon S119,1514524
213,stafan,[WIn] OnlyWin S119,1513430
214,Gorbin,[CHIL] ChillEmpire S119,1513157
215,T-800-,[STLG] SteelLegion S119,1512228
216,ayna,[Hhhh] Xpovos S119,1510729
217,Sickness,[STLG] SteelLegion S119,1509803
218,EnigmaNato,[RTR] RETRO S119,1509385
219,Barents,[WIn] OnlyWin S119,1508443
220,DaRkQueen,[CHIL] ChillEmpire S119,1508274
221,КапитанБаян,[STLG] SteelLegion S119,1506437
222,ВРЕДНАЯ,[SORI] ВРЕДНЫЕ S119,1504952
223,Артур006,[WIn] OnlyWin S119,1504922
224,PartoS,[RTRJ RETRO S119,1503900
225,Leylik,[Sold] Soldiers S119,1502977
226,ARMAGEDdON,[DOOM] Armageddon S119,1502834
227,ViZzzz,[CHIL] ChillEmpire S119,1502729
228,Luke0727,[P2MP] NowaPolandia,1501013
229,Ланка280,[CLAV] ВОЙНЫ S119,1500934
230,Helen08,[STLG] SteelLegion S119,1500885
231,Viamay,[SKG] Horizon S119,1480347
232,MissCherry1221,[Hhhh] Xpovos S119,1468884
233,КОМПОСТ,[DOOM] Armageddon S119,1458580
234,Parada,[HDG] HérosdeGuerre,1445524
235,Vicstorys,[WIn] OnlyWin S119,1439715
236,HALKER,[G95] Grozny S119,1423842
237,Hyha54rus,[CLAV] ВОЙНЫ S119,1415345
238,2Каратель,[ALIN] RUSalina,1411034
239,Тимур999,[STLG] SteelLegion S119,1405050
240,lola319,[OFF] OnlyForFans S119,1404873
241,KOKRAN,[KRS] KRATOS,1397860
242,okouioui,[HDG] HérosdeGuerre,1388343
243,КСюЛЯ2209,[OFF] OnlyForFans S119,1384513
244,ЭGREGORE,[DOOM] Armageddon S119,1374353
