Rank,Alliance,Server,Members,Total Points,Avg Points/Player,Top Commander,Top Commander Points
87,[AADC] Tranquilityprevails,S117,10,7586,758,Johnnny5,2664
88,[3612] Легенда007,S117,8,6824,853,Commander2dQurMV,3704
89,[KRS2] KRATO,S117,7,5518,788,nicolas06590,3328
90,[CPU] CPUUUU,S117,5,5429,1085,Commander2eNTwIR,2456
91,[hel] helloo,S117,10,4557,455,Commander2fXx401,1680
92,[TBMM] Teşkilat,S117,1,4291,4291,Cocolokko,4291
93,[JQK] JQKKK,S117,2,3576,1788,Wallace1999,1912
94,[FGTH] FunnyGTH,S117,8,3500,437,Commander2eKbtbf,1470
95,[QCK] QUICKREACTIONFORCE,S117,5,3367,673,Hoshino,2604
96,[SMY] SileentMajority,S117,12,3097,258,Commander2eiQVq5,800
97,[RD11] RisingDominion,S117,1,2912,2912,BuzzLightyear,2912
98,[TopU] UkraineWillWin,S117,7,2448,349,Fumyshe,1680
99,[R111] R11111,S117,1,2349,2349,Commander2e0XGg5,2349
100,[GeR] Germanyf2P,S117,1,2345,2345,Zyson,2345
101,[mvEp] Viva4ever,S117,7,2289,327,ravanan,840
102,[2kk] afwff,S117,5,2276,455,Commander2ezanyZ,1946
103,[TBS2] Tabacuddos,S117,3,2047,682,Commander2fK4r6R,1066
104,[NNU] TheSun,S117,1,1972,1972,ShooShoo,1972
105,[HEII] DarkAl,S117,5,1926,385,Ulukbek,1024
106,[Sp3r] Sparta2026,S117,6,1655,275,Commander2dyy2z3,893
107,[VFD] VFDAHREA,S117,4,1477,369,Laulau42,906
108,[1BiR] XOXOX,S117,6,1375,229,Nikolai2312,1057
109,[COG] Archersoflacross,S117,5,1288,257,EtherealSaint,424
110,[aWLO] 111AB,S117,2,1139,569,Commander2fj6633,952
111,[HMK] HispaniaMagna,S117,1,1112,1112,Viningaxxx,1112
112,[MMMC] Mdodmcj,S117,6,922,153,CommanderAnya,428
113,[DRKT] DarkKnightS,S117,2,817,408,Critto,808
114,[Wir] WölfeOdins,S117,2,807,403,Commander2eXj6Lz,632
115,[Df] 아무이름이나붙이기,S117,2,774,387,Commander2eMztKR,585
116,[ZRS] ZRlastwar,S117,1,688,688,Commander2ead3mt,688
117,[190] CandyClub,S117,4,644,161,Flavio2,360
118,[Aria] ariaetsescompagon,S117,7,591,84,Noxxxxxxx,216
119,[SEE] SunEatingEagle,S117,2,564,282,Commander2euL7db,510
120,[PYZE] PYZDA,S117,3,536,178,максим1234,328
121,[DWD] DryWell,S117,1,396,396,Dee9,396
122,[TWB] BMWMT,S117,5,392,78,Commander2djnCg5,152
123,[ues] SUAUUUUUUK,S117,2,342,171,ItssTurner,288
124,[uuas] usssss,S117,2,328,164,Eland,184
125,[COM] AmericanHeadquarter,S117,3,320,106,Free-iran,160
126,[BYQ] USASKK,S117,1,296,296,JёriїiÜÉy,296
127,[SiN1] Genocide,S117,1,286,286,Commander2dud6jv,286
128,[A12] AmericanFamily,S117,2,271,135,Commander2erCJLv,263
129,[usv] USAUUUUUUUUKU,S117,1,256,256,Commander2fKROnb,256
130,[OSO] DFHJK,S117,1,189,189,Commander2dlvgY5,189
131,[RESH] Gshreh,S117,1,156,156,Commander2dR5e4Z,156
132,[CBD] CBDDD,S117,2,156,78,Kawekalaya,84
133,[MXZ] Mexzom,S117,1,147,147,zergy,147
134,[Skr] southkorea,S117,1,95,95,Commander2e28N8x,95
135,[ROKY] NO1ROK,S117,1,64,64,reapah,64
136,[KDA] KDAUSA,S117,2,40,20,Commander2eZUyBD,24
137,[wCOE] USAQUK,S117,1,24,24,Douggiedoo,24
138,[DFH] LregLSho,S117,2,16,8,Commander2fZei8Z,9
139,[QWER] 가나디유치원,S117,1,7,7,homonez,7
140,[Fkfk] Фкфкфкфк,S117,1,6,6,Azumiii,6
